asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,lnpop2020,logpop2020
0,8817.608398,9.084505956,3.945350807
1,15627.51953,9.656788712,4.19389005
2,8419.099609,9.038258167,3.925265648
3,19332.04688,9.869519458,4.28627784
4,11977.52441,9.390787207,4.078367065
5,19397.04492,9.87287601,4.287735572
6,28071.64648,10.24251532,4.448267886
7,9586.15625,9.168075279,3.981644504
8,36732.3125,10.5114121,4.56504827
9,15447.09277,9.645176095,4.188846755
10,35373.58984,10.47372077,4.548679136
11,7657.675781,8.943463794,3.884096975
12,25942.79297,10.16364912,4.41401673
13,388629.9375,12.87038285,5.589536253
14,16110.83594,9.687247364,4.207118075
15,27119.46484,10.20800701,4.433281115
16,54003.38672,10.89680204,4.732420997
17,20641.7168,9.935069394,4.314745815
18,13944.21582,9.542820065,4.144394096
19,9225.197266,9.129693852,3.964975662
20,5252.852051,8.566526456,3.720395169
21,9206.078125,9.127619211,3.964074656
22,10222.49805,9.232346261,4.009557036
23,8832.369141,9.086178563,3.946077212
24,16615.39648,9.718085044,4.220510709
25,32342.43555,10.38413544,4.509772721
26,62869.94922,11.04882357,4.79844311
27,17083.67383,9.74587854,4.232581271
28,21134.08203,9.958642278,4.324983389
29,8066.745117,8.995505349,3.906698335
30,38696.48438,10.56350403,4.587671511
31,23699.24219,10.07319835,4.374734459
32,6929.962402,8.843609667,3.840730878
33,20762.14063,9.940886445,4.317272128
34,8828.43457,9.085732993,3.945883703
35,3899.970215,8.268724195,3.59106129
36,65406.9375,11.08838361,4.815623815
37,10542.49609,9.263169615,4.022943449
38,286201.3438,12.56445084,5.456671668
39,31857.94531,10.36904209,4.503217762
40,32755.23438,10.39681806,4.515280711
41,55747.88281,10.92859471,4.746228378
42,19526.67773,9.879536899,4.290628359
43,11497.81543,9.349912334,4.060615333
44,9126.832031,9.118973929,3.960320058
45,2862.130859,7.959321682,3.456689486
46,7021.14209,8.856681175,3.846407762
47,72195.01563,11.18712629,4.858507215
48,15849.3916,9.670886394,4.200012596
49,40728.64063,10.61468682,4.609899915
50,3400.975098,8.131817463,3.531603452
51,11863.8418,9.381250549,4.074225347
52,21024.40039,9.953438966,4.322723619
53,187711.6875,12.14266249,5.273491314
54,20660.25391,9.935967032,4.315135655
55,579.4978638,6.362161976,2.763051839
