year,adm3,adm2,adm1,firms,sales,d-labour,d-wage,d-labourmonth,d-labourfem,d-wagefem,d-labourmonthfem,d-labourmale,d-wagemale,d-labourmonthmale,nd-labour,nd-wage,nd-labourmonth,nd-labourfem,nd-wagefem,nd-labourmonthfem,nd-labourmale,nd-wagemale,nd-labourmonthmale,asdf_id,totallabour,totalwage,totallabourfem,totalwagefem,totallabourmale,totalwagemale,lnsales,logsales,lntotalwage,lntotalwagefem,lngtotalwagemale,logtotalwage,logtotalwagefem,logtotalwagemale,rank,adm1_adm3
2021,Cunco,Cautin,La Araucania,909,13047394.86,1876,1953787.525,1293.334,748,725908.8525,539.25,1130,1230993.429,754.084,1049,432111.5365,623.666,534,189943.5326,325.25,515,242150.2309,298.417,5,2925,2385899.062,1282,915852.3851,1645,1473143.66,16.38409904,7.115523806,14.68508658,13.72761048,7.405495663,6.377652066,5.961825481,6.168245101,207,La Araucania - Cunco
2021,Carahue,Cautin,La Araucania,1147,13024478.29,1407,1845318.84,972.416,510,669427.7685,374.166,896,1178865.854,598.25,773,444542.1695,475.417,421,195293.2406,272.75,352,249231.1519,202.667,129,2180,2289861.01,931,864721.0091,1248,1428097.006,16.38234109,7.114760336,14.64400168,13.6701622,7.129297549,6.359809122,5.936876011,6.154757709,208,La Araucania - Carahue
2021,El Tabo,San Antonio,Valparaiso,919,13022056.27,2051,1943268.869,1216.666,869,718009.8615,549,1181,1228233.793,667.667,1185,463775.1075,569.334,547,194434.9936,285.917,638,269322.3369,283.417,192,3236,2407043.977,1416,912444.8551,1819,1497556.13,16.38215511,7.114679568,14.69390999,13.72388293,7.506042179,6.381484025,5.960206627,6.175383109,209,Valparaiso - El Tabo
2021,Pinto,Diguillin,Nuble,885,13008157.85,1600,1723184.001,820.083,627,600017.0605,291.583,969,1126141.723,528.5,604,333048.6995,242.583,265,136528.2756,116.167,339,196502.6499,126.416,336,2204,2056232.701,892,736545.3361,1308,1322644.373,16.38108725,7.114215798,14.53638608,13.50972607,7.176254532,6.313072262,5.867199484,6.121443089,210,Nuble - Pinto
2021,Tucapel,Biobio,Biobio,777,13008156.07,1227,1773600.454,737.166,351,621360.3355,223.5,876,1155214.901,513.667,617,344630.0445,338,341,151074.2006,190.501,276,193538.0709,147.5,88,1844,2118230.499,692,772434.5361,1152,1348752.972,16.38108711,7.114215739,14.56609163,13.55730254,7.049254841,6.325973217,5.887861683,6.129932415,211,Biobio - Tucapel
2021,Chanaral,Chanaral,Atacama,810,12993030.64,1567,1735757.792,886.333,507,604487.6385,285.25,1053,1134244.936,601.083,705,336933.1655,417.75,189,139233.5496,87.25,516,197681.8429,330.499,230,2272,2072690.958,696,743721.1881,1569,1331926.779,16.37992367,7.113710463,14.5443583,13.5194215,7.358193753,6.316534553,5.871410154,6.124480351,212,Atacama - Chanaral
2021,El Carmen,Diguillin,Nuble,844,12988340.91,2098,1784209.958,826.083,1009,640921.2725,358.917,1086,1146263.47,467.167,471,334460.1655,250.916,312,142465.5626,187.584,159,191976.8299,63.333,342,2569,2118670.124,1321,783386.8351,1245,1338240.3,16.37956266,7.113553679,14.56629915,13.5713819,7.126890809,6.326063343,5.893976269,6.126534104,213,Nuble - El Carmen
2021,Marchigue,Cardenal Caro,OHiggins,632,12985120.33,2010,1800709.105,1012.666,412,623814.0555,225.25,1595,1179869.832,787.416,446,338431.0655,178.917,231,142151.2476,96.834,215,196262.0449,82.083,0,2456,2139140.171,643,765965.3031,1810,1376131.877,16.37931467,7.113445978,14.57591452,13.54889215,7.501082124,6.330239243,5.884209097,6.138660055,214,Libertador Gral. Bernardo OÕHiggins - Marchigue
2021,Catemu,San Felipe,Valparaiso,762,12972745.91,2275,1757126.014,1063.083,589,603667.7885,276.167,1685,1156433.007,786.917,407,324108.1235,185.167,207,136695.6926,96.167,200,187394.6579,89,70,2682,2081234.138,796,740363.4811,1885,1343827.665,16.37836125,7.113031912,14.54847161,13.51489654,7.5416831,6.318320941,5.869444989,6.128343578,215,Valparaiso - Catemu
2021,Coronel,Concepcion,Biobio,4516,12932960.77,14953,1642169.993,7893.246,4076,528902.424,2398.415,10952,1123868.845,5494.747,6442,588094.35,2624.498,2533,173754.951,1273.165,3909,414339.4,1351.333,95,21395,2230264.343,6609,702657.375,14861,1538208.245,16.37528971,7.11169796,14.61763068,13.46262468,9.606495611,6.348356341,5.846743609,6.187015135,216,Biobio - Coronel
