asdf_id,shapeName,viirs_ntl_annual_v20_avg_masked.2020.sum,lnviirs_ntl,logviirs_ntl
326,Alhué,1019.79,6.93,3.01
327,Chimbarongo,2800.56,7.94,3.45
328,Lolol,558.67,6.33,2.75
329,Hualañé,535.60,6.28,2.73
330,Rauco,754.54,6.63,2.88
331,Chépica,733.37,6.60,2.87
332,Teno,3133.70,8.05,3.50
333,Romeral,1523.57,7.33,3.18
334,San Fernando,4545.69,8.42,3.66
335,Parral,1587.60,7.37,3.20
336,Pinto,395.70,5.98,2.60
337,San Ignacio,542.10,6.30,2.73
338,Pemuco,648.18,6.47,2.81
339,San Nicolás,382.31,5.95,2.58
340,San Fabián,214.17,5.37,2.33
341,Ñiquén,245.93,5.51,2.39
342,El Carmen,425.19,6.05,2.63
343,Coihueco,1206.28,7.10,3.08
344,Tocopilla,4658.49,8.45,3.67
